period,gaming,data_center,pro_viz,oem_other,total,data_center_pct,gaming_pct
FY2013,1461,336,424,476,4280,7.9,34.1
FY2014,1665,432,477,819,4130,10.5,40.3
FY2015,2055,557,564,782,4682,11.9,43.9
FY2016,2178,830,573,582,5010,16.6,43.5
FY2017,2985,830,559,388,6910,12,43.2
FY2018,3272,1932,734,1007,9714,19.9,33.7
FY2019,4474,2932,1114,1149,11716,25,38.2
FY2020,5518,2983,1052,974,10918,27.3,50.5
FY2021,7759,6696,1148,1054,16675,40.2,46.5
FY2022,12462,10613,2111,1624,26914,39.4,46.3
FY2023,9066,15005,1544,1353,26974,55.6,33.6
FY2024,10447,47532,1591,1866,60922,78,17.1
FY2025,11454,115187,2164,2032,130497,88.3,8.8
