fiscal_year,calendar_year,total,gaming,data_center,pro_viz,oem_other,other_unallocated,gaming_share,data_center_share,pro_viz_share,oem_other_share,other_unallocated_share,recon_residual,recon_residual_pct,overage_flag,data_center_pct_reported,data_center_pct_check_diff
2013,2012,4280,1461,336,424,476,1583,0.3413551401869159,0.07850467289719626,0.09906542056074766,0.11121495327102804,0.36985981308411214,1583,0.36985981308411214,False,7.9,-0.049532710280374204
2014,2013,4130,1665,432,477,819,737,0.40314769975786924,0.10460048426150122,0.11549636803874092,0.19830508474576272,0.17845036319612592,737,0.17845036319612592,False,10.5,-0.03995157384987813
2015,2014,4682,2055,557,564,782,724,0.4389149935924819,0.11896625373771892,0.1204613413071337,0.1670226398974797,0.1546347714651858,724,0.1546347714651858,False,11.9,-0.0033746262281084682
2016,2015,5010,2178,830,573,582,847,0.4347305389221557,0.1656686626746507,0.11437125748502994,0.11616766467065869,0.169061876247505,847,0.169061876247505,False,16.6,-0.03313373253493168
2017,2016,6910,2985,830,559,388,2148,0.4319826338639653,0.12011577424023155,0.0808972503617945,0.05615050651230101,0.31085383502170766,2148,0.31085383502170766,False,12.0,0.011577424023155203
2018,2017,9714,3272,1932,734,1007,2769,0.3368334362775376,0.19888820259419396,0.07556104591311509,0.10366481367099033,0.28505250154416306,2769,0.28505250154416306,False,19.9,-0.01117974058060156
2019,2018,11716,4474,2932,1114,1149,2047,0.3818709457152612,0.2502560600887675,0.09508364629566404,0.09807101399795153,0.17471833390235575,2047,0.17471833390235575,False,25.0,0.025606008876749797
2020,2019,10918,5518,2983,1052,974,391,0.5054039201318923,0.27321853819380837,0.09635464370763876,0.08921047810954387,0.03581241985711669,391,0.03581241985711669,False,27.3,0.02185381938083708
2021,2020,16675,7759,6696,1148,1054,18,0.46530734632683657,0.40155922038980507,0.0688455772113943,0.06320839580209896,0.0010794602698650675,18,0.0010794602698650675,False,40.2,-0.04407796101949657
2022,2021,26914,12462,10613,2111,1624,104,0.46303039310396077,0.3943300884298135,0.07843501523370737,0.060340343315746454,0.0038641599167719403,104,0.0038641599167719403,False,39.4,0.03300884298135287
2023,2022,26974,9066,15005,1544,1353,6,0.336101431007637,0.5562764143249055,0.05724030547935049,0.05015941276785052,0.00022243642025654333,6,0.00022243642025654333,False,55.6,0.027641432490547402
2024,2023,60922,10447,47532,1591,1866,0,0.1700468780519565,0.7736831824988606,0.025896868285695682,0.030373071163487208,0.0,-514,-0.008437017826072682,True,78.0,-0.6316817501139411
2025,2024,130497,11454,115187,2164,2032,0,0.0875440433516513,0.8803855178580983,0.016539663856554337,0.015530774933696126,0.0,-340,-0.0026054238794761563,True,88.3,-0.2614482141901675
