ticker,calendar_quarter,quarter_end_date,source_ticker,qend_adj_close,qoq_return
NVDA,2010Q1,2010-03-31,NVDA,0.398337,
NVDA,2010Q2,2010-06-30,NVDA,0.233737,-0.41321795364226777
NVDA,2010Q3,2010-09-30,NVDA,0.26739,0.1439780608119383
NVDA,2010Q4,2010-12-31,NVDA,0.352551,0.318489846291933
NVDA,2011Q1,2011-03-31,NVDA,0.422604,0.1987031663504002
NVDA,2011Q2,2011-06-30,NVDA,0.364913,-0.13651314232709577
NVDA,2011Q3,2011-09-30,NVDA,0.286391,-0.21518005661623452
NVDA,2011Q4,2011-12-30,NVDA,0.317296,0.10791191063965
NVDA,2012Q1,2012-03-30,NVDA,0.352551,0.11111076092985717
NVDA,2012Q2,2012-06-29,NVDA,0.31638,-0.10259792200277407
NVDA,2012Q3,2012-09-28,NVDA,0.305392,-0.03473038750869206
NVDA,2012Q4,2012-12-31,NVDA,0.282478,-0.0750314350081207
NVDA,2013Q1,2013-03-28,NVDA,0.297425,0.05291385523828396
NVDA,2013Q2,2013-06-28,NVDA,0.327128,0.09986719341010342
NVDA,2013Q3,2013-09-30,NVDA,0.364372,0.11385145875620561
NVDA,2013Q4,2013-12-31,NVDA,0.377176,0.03513991195810884
NVDA,2014Q1,2014-03-31,NVDA,0.423578,0.12302479479076078
NVDA,2014Q2,2014-06-30,NVDA,0.440497,0.03994305653268104
NVDA,2014Q3,2014-09-30,NVDA,0.440298,-0.0004517624410609322
NVDA,2014Q4,2014-12-31,NVDA,0.480506,0.09131996965691402
NVDA,2015Q1,2015-03-31,NVDA,0.503527,0.04790991163481828
NVDA,2015Q2,2015-06-30,NVDA,0.486039,-0.03473100747328339
NVDA,2015Q3,2015-09-30,NVDA,0.598273,0.23091562611230798
NVDA,2015Q4,2015-12-31,NVDA,0.803,0.34219662261208517
NVDA,2016Q1,2016-03-31,NVDA,0.871211,0.08494520547945195
NVDA,2016Q2,2016-06-30,NVDA,1.152456,0.32282076328237364
NVDA,2016Q3,2016-09-30,NVDA,1.682872,0.46024837390755047
NVDA,2016Q4,2016-12-30,NVDA,2.62549,0.5601245965230868
NVDA,2017Q1,2017-03-31,NVDA,2.682739,0.02180507257692854
NVDA,2017Q2,2017-06-30,NVDA,3.563989,0.32848890630061267
NVDA,2017Q3,2017-09-29,NVDA,4.411285,0.2377381074969649
NVDA,2017Q4,2017-12-29,NVDA,4.778076,0.08314833432888613
NVDA,2018Q1,2018-03-29,NVDA,5.722183,0.1975914573146178
NVDA,2018Q2,2018-06-29,NVDA,5.857003,0.023560938194391756
NVDA,2018Q3,2018-09-28,NVDA,6.951605,0.18688773080703558
NVDA,2018Q4,2018-12-31,NVDA,3.305701,-0.5244693851276072
NVDA,2019Q1,2019-03-29,NVDA,4.45081,0.34640428762310926
NVDA,2019Q2,2019-06-28,NVDA,4.075469,-0.08433094200830848
NVDA,2019Q3,2019-09-30,NVDA,4.323928,0.060964517212620306
NVDA,2019Q4,2019-12-31,NVDA,5.849208,0.35275332984267993
NVDA,2020Q1,2020-03-31,NVDA,6.556622,0.12094184375047012
NVDA,2020Q2,2020-06-30,NVDA,9.453954,0.44189401188599864
NVDA,2020Q3,2020-09-30,NVDA,13.472139,0.4250269252420735
NVDA,2020Q4,2020-12-31,NVDA,13.002531,-0.03485771635818191
NVDA,2021Q1,2021-03-31,NVDA,13.299194,0.022815788710675022
NVDA,2021Q2,2021-06-30,NVDA,19.933554,0.498854291470596
NVDA,2021Q3,2021-09-30,NVDA,20.648233,0.035853064636642396
NVDA,2021Q4,2021-12-31,NVDA,29.318378,0.41989767356848384
NVDA,2022Q1,2022-03-31,NVDA,27.204702,-0.07209389277947087
NVDA,2022Q2,2022-06-30,NVDA,15.11703,-0.4443228968286439
NVDA,2022Q3,2022-09-30,NVDA,12.108988,-0.1989836627961974
NVDA,2022Q4,2022-12-30,NVDA,14.581599,0.20419633746436938
NVDA,2023Q1,2023-03-31,NVDA,27.720125,0.9010346533326008
NVDA,2023Q2,2023-06-30,NVDA,42.219753,0.523072244443342
NVDA,2023Q3,2023-09-29,NVDA,43.418003,0.028381265044350235
NVDA,2023Q4,2023-12-29,NVDA,49.434128,0.13856291363746043
NVDA,2024Q1,2024-03-28,NVDA,90.199905,0.8246484493465729
NVDA,2024Q2,2024-06-28,NVDA,123.336716,0.3673707971200191
NVDA,2024Q3,2024-09-30,NVDA,121.250549,-0.016914403655761245
NVDA,2024Q4,2024-12-31,NVDA,134.089737,0.10588973085804332
NVDA,2025Q1,2025-03-31,NVDA,108.228325,-0.1928664533065645
NVDA,2025Q2,2025-06-30,NVDA,157.779846,0.4578424455889898
NVDA,2025Q3,2025-09-30,NVDA,186.342331,0.18102746151748694
NVDA,2025Q4,2025-12-31,NVDA,186.272797,-0.0003731519275671502
NVDA,2026Q1,2026-03-31,NVDA,174.196976,-0.06482868778740669
AMD,2010Q1,2010-03-31,AMD,9.27,
AMD,2010Q2,2010-06-30,AMD,7.32,-0.21035598705501612
AMD,2010Q3,2010-09-30,AMD,7.11,-0.02868852459016391
AMD,2010Q4,2010-12-31,AMD,8.18,0.1504922644163149
AMD,2011Q1,2011-03-31,AMD,8.6,0.05134474327628369
AMD,2011Q2,2011-06-30,AMD,6.99,-0.1872093023255813
AMD,2011Q3,2011-09-30,AMD,5.08,-0.27324749642346213
AMD,2011Q4,2011-12-30,AMD,5.4,0.06299212598425208
AMD,2012Q1,2012-03-30,AMD,8.02,0.48518518518518494
AMD,2012Q2,2012-06-29,AMD,5.73,-0.28553615960099743
AMD,2012Q3,2012-09-28,AMD,3.37,-0.41186736474694596
AMD,2012Q4,2012-12-31,AMD,2.4,-0.28783382789317513
AMD,2013Q1,2013-03-28,AMD,2.55,0.0625
AMD,2013Q2,2013-06-28,AMD,4.08,0.6000000000000001
AMD,2013Q3,2013-09-30,AMD,3.81,-0.06617647058823528
AMD,2013Q4,2013-12-31,AMD,3.87,0.015748031496062964
AMD,2014Q1,2014-03-31,AMD,4.01,0.036175710594315236
AMD,2014Q2,2014-06-30,AMD,4.19,0.04488778054862852
AMD,2014Q3,2014-09-30,AMD,3.41,-0.18615751789976143
AMD,2014Q4,2014-12-31,AMD,2.67,-0.21700879765395897
AMD,2015Q1,2015-03-31,AMD,2.68,0.0037453183520599342
AMD,2015Q2,2015-06-30,AMD,2.4,-0.10447761194029859
AMD,2015Q3,2015-09-30,AMD,1.72,-0.2833333333333333
AMD,2015Q4,2015-12-31,AMD,2.87,0.6686046511627908
AMD,2016Q1,2016-03-31,AMD,2.85,-0.006968641114982632
AMD,2016Q2,2016-06-30,AMD,5.14,0.8035087719298244
AMD,2016Q3,2016-09-30,AMD,6.91,0.3443579766536966
AMD,2016Q4,2016-12-30,AMD,11.34,0.6410998552821996
AMD,2017Q1,2017-03-31,AMD,14.55,0.28306878306878325
AMD,2017Q2,2017-06-30,AMD,12.48,-0.14226804123711345
AMD,2017Q3,2017-09-29,AMD,12.75,0.02163461538461542
AMD,2017Q4,2017-12-29,AMD,10.28,-0.19372549019607843
AMD,2018Q1,2018-03-29,AMD,10.05,-0.02237354085603105
AMD,2018Q2,2018-06-29,AMD,14.99,0.4915422885572138
AMD,2018Q3,2018-09-28,AMD,30.889999,1.0607070713809206
AMD,2018Q4,2018-12-31,AMD,18.459999,-0.4023956103074008
AMD,2019Q1,2019-03-29,AMD,25.52,0.3824486122669888
AMD,2019Q2,2019-06-28,AMD,30.370001,0.19004706112852654
AMD,2019Q3,2019-09-30,AMD,28.99,-0.04543960996247576
AMD,2019Q4,2019-12-31,AMD,45.860001,0.5819248361503966
AMD,2020Q1,2020-03-31,AMD,45.48,-0.008286109719012003
AMD,2020Q2,2020-06-30,AMD,52.610001,0.1567722295514511
AMD,2020Q3,2020-09-30,AMD,81.989998,0.5584488964370102
AMD,2020Q4,2020-12-31,AMD,91.709999,0.11855105789855003
AMD,2021Q1,2021-03-31,AMD,78.5,-0.14404098946724442
AMD,2021Q2,2021-06-30,AMD,93.93,0.19656050955414028
AMD,2021Q3,2021-09-30,AMD,102.900002,0.09549666773128918
